"Year","Rank","Team","Points"
"2003","1","Florida","298.36"
"2003","2","USC","288.61"
"2003","3","LSU","282.27"
"2003","4","Miami","257.73"
"2003","5","Michigan","255.10"
"2003","6","Oklahoma","247.77"
"2003","7","Notre Dame","239.52"
"2003","8","Texas","237.40"
"2003","9","Georgia","236.21"
"2003","10","Tennessee","231.39"
"2003","11","Virginia","220.34"
"2003","12","South Carolina","211.16"
"2003","13","Mississippi State","208.22"
"2003","14","Texas A&M","207.47"
"2003","15","Florida State","203.95"
"2003","16","Auburn","200.29"
"2003","17","NC State","194.13"
"2003","18","North Carolina","192.52"
"2003","19","Colorado","185.54"
"2003","20","Washington","184.69"
"2003","21","Oklahoma State","183.97"
"2003","22","Arizona State","183.77"
"2003","23","Illinois","180.52"
"2003","24","California","180.46"
"2003","25","Maryland","179.95"
"2003","26","Stanford","179.93"
"2003","27","Virginia Tech","174.88"
"2003","28","Purdue","174.87"
"2003","29","UCLA","174.60"
"2003","30","Oregon","172.47"
"2003","31","Wisconsin","170.37"
"2003","32","Boston College","170.35"
"2003","33","Kansas State","167.35"
"2003","34","Ole Miss","166.37"
"2003","35","Nebraska","166.25"
"2003","36","Rutgers","164.34"
"2003","37","Missouri","163.47"
"2003","38","Georgia Tech","159.66"
"2003","39","Arizona","159.32"
"2003","40","Iowa","158.53"
"2003","41","Alabama","156.58"
"2003","42","Arkansas","155.43"
"2003","43","Clemson","153.65"
"2003","44","Kansas","151.57"
"2003","45","Minnesota","149.65"
"2003","46","Ohio State","148.26"
"2003","47","Pittsburgh","147.62"
"2003","48","Penn State","144.63"
"2003","49","Louisville","137.31"
"2003","50","SMU","134.26"
"2003","51","Washington State","133.59"
"2003","52","San Diego State","131.79"
"2003","53","Louisiana Tech","130.03"
"2003","54","West Virginia","129.60"
"2003","55","Syracuse","128.96"
"2003","56","Iowa State","127.90"
"2003","57","Baylor","126.41"
"2003","58","Tulane","126.36"
"2003","59","Houston","125.88"
"2003","60","Wake Forest","125.47"
"2003","61","BYU","123.78"
"2003","62","Oregon State","123.52"
"2003","63","Temple","120.41"
"2003","64","Memphis","117.27"
"2003","65","Vanderbilt","116.07"
"2003","66","UNLV","113.89"
"2003","67","Northwestern","111.31"
"2003","68","Michigan State","110.52"
"2003","69","TCU","110.37"
"2003","70","UCF","109.00"
"2003","71","Texas Tech","108.77"
"2003","72","Fresno State","108.00"
"2003","73","Tulsa","103.19"
"2003","74","Colorado State","103.13"
"2003","75","Utah","102.89"
"2003","76","Indiana","101.12"
"2003","77","Nevada","97.84"
"2003","78","South Florida","97.77"
"2003","79","Middle Tennessee","97.77"
"2003","80","Southern Mississippi","95.96"
"2003","81","North Texas","94.48"
"2003","82","Hawai'i","93.21"
"2003","83","Arkansas State","92.91"
"2003","84","San José State","92.09"
"2003","85","Central Michigan","92.09"
"2003","86","Duke","91.65"
"2003","87","Rice","91.03"
"2003","88","Troy","90.91"
"2003","89","Utah State","90.83"
"2003","90","Louisiana","90.56"
"2003","91","Bowling Green","90.32"
"2003","92","Idaho","89.31"
"2003","93","New Mexico","88.78"
"2003","94","Connecticut","87.69"
"2003","95","UAB","84.94"
"2003","96","Cincinnati","82.93"
"2003","97","Toledo","82.91"
"2003","98","East Carolina","82.19"
"2003","99","Marshall","82.05"
"2003","100","Northern Illinois","79.60"
"2003","101","Army","79.60"
"2003","102","Akron","78.88"
"2003","103","Kent State","78.45"
"2003","104","Western Michigan","77.98"
"2003","105","Louisiana Monroe","77.60"
"2003","106","New Mexico State","76.70"
"2003","107","Eastern Michigan","74.64"
"2003","108","Wyoming","73.52"
"2003","109","Buffalo","73.52"
"2003","110","Boise State","71.83"
"2003","111","Ball State","68.50"
"2003","112","Miami (OH)","68.50"
"2003","113","Ohio","66.15"
"2003","114","UTEP","63.41"
"2003","115","Navy","60.25"
"2003","116","Kentucky","22.68"
"2003","117","Air Force","13.29"
"2003","118","Southern Illinois","6.67"
